宪明 - 来不及说对不起|魏俫原创合集
耳鳴治療 - 安靜睡覺|耳鳴音樂治療 - 安靜和放鬆的大自然聲音為了大腦放鬆
小愛的搖籃曲 - 開腦音樂|睡前安眠曲 - 寶寶睡前必聽的催眠曲和深度睡眠音樂
懓之守候 - 雨荷|与你共谱地老天荒
高考 - 学习专注力读书音乐|集中注意力 - 很有效的學習音樂為了複習和做作業
台灣靈巖山寺 - 大悲神咒 (慢版)|大悲神咒(慢版)
林正明 - 阿彌陀佛心咒 (梵唱108遍)|六字大明咒 阿彌陀佛心咒 (梵唱108遍)
懷孕期間 - 寶寶音樂會|胎教音樂精選14首 - 2018 輕音樂為了讓媽媽和寶寶快快睡覺和休息
劉文正 - 祈禱|群星會 16 劉文正 (珍藏系列)
大自然 - 睡眠|大自然森林之音 - 讀書和工作最佳輕音樂
佛教梵音樂團 - 虛空藏菩薩心咒|虛空藏菩薩心咒
自然的聲音 - 熱帶雨林|大自然的聲音放鬆: 特別版
稲葉浩志 - 羽|羽
酒店音樂 - 鋼琴曲|酒店大廳背景音樂 - 安靜歌曲和鋼琴曲為了高級酒店
佛教梵音樂團 - 消災吉祥神咒|消災吉祥神咒
美食天堂 - 美食的音樂|美食的音樂 - 2018最好聽的鋼琴曲和純音樂為了高級餐廳和美食街
深度睡眠 - 小星星|寶寶數星星 - 最適合一週歲寶寶聽的早教音樂為了開始發育大腦
舒暖純音樂 - 專注力讀書音樂|專注力讀書音樂 - 好聽的鋼琴曲為了快速掌握新知識和整晚學習
深度睡眠 - 鋼琴曲|寶寶要睡覺了 - 14首嬰兒必須聽的純音樂安眠曲為了乖乖地睡覺
媃儿 - 适可而止|适可而止
许冠杰 - 发噏风|念奴娇
何瑞璂 - 小小公主|小小公主
般若梵唄組 - 大悲咒 念誦版 八十四句 (華語版)|大悲咒 念誦版 八十四句(華語版)
加农砲敲击乐团 - 汤姆猫|加农砲迪斯科 24声道电脑录音
舒暖純音樂 - 耳鳴治療|輕音樂治療耳鳴 - 最有效的大自然聲音和森林聲音為了耳鳴治療
耳鳴治療 - 安眠曲|耳鳴音樂治療 - 安靜和放鬆的大自然聲音為了大腦放鬆
學習 - 讀書必聽輕音樂|讀書必聽輕音樂 - 安靜輕音樂為了集中注意力和安心的學習
鋼琴曲 - 美好的未來|不怕高考- 鋼琴曲讓你一心一意的學習
鋼琴曲 - 新的一天|不怕高考- 鋼琴曲讓你一心一意的學習
鋼琴曲 - 藍色的天|不怕高考- 鋼琴曲讓你一心一意的學習
三巨頭電腦樂團 - 愛情一陣風|效果音樂17
小寶寶音樂 - 小寶寶要睡覺了|嬰兒睡眠音樂
佛教音乐 - 南無觀世音菩薩聖號 (台語版)|南無觀世音菩薩聖號(台語版)
安静音乐 - 想起你|咖啡廳純音樂 - 好聽的輕音樂為了放鬆心情和看書
鲁文阿馹 - 彝族口炫|诺苏之声
听风人 - 滿目山河註定愛而不得|2020年第一炮
林正明 - 文殊菩薩心咒 (梵唱)|八大菩薩之文殊菩薩陀羅尼 文殊菩薩心咒 (蓮緣17)
嬰兒安眠曲 - 寶貝和媽媽安眠曲|寶貝和媽媽安眠曲 - 20首安靜音樂和鋼琴曲為了寶寶和孕婦
小天才 - 你的微笑|幫助寶寶入眠音樂 - 兒童睡眠安撫音樂和輕音樂為了潜能腦部开发
奕睆 - 平安大悲咒|生活佛曲 (1): 平安咒
森林音樂 - 安靜的背景音|天然森林音樂 - 最適合快速入睡的純音樂和大自然聲音
安静音乐 - 咖啡廳純音樂|咖啡廳純音樂 - 好聽的輕音樂為了放鬆心情和看書
兮雅 - 得不到的永远在騒动|多少有点嗨
薩摩拉哆.耕上師 - 弥勒佛咒|福至心領
纯音乐 - 背景音樂|酒店常用背景音樂 - 最適合酒店和度假村的放鬆音樂
普渡慈航會 - 一聲佛號一身心|佛歌經典
陳潔麗 - 如果來生還是今世的重複|一路伴紅塵
催眠 治療 - 滿月|催眠 治療 - 深睡, 正面思考, 睡眠音樂
妮婷 - 懷念媽媽|玲珑小调
盛晓玫 - 不停讚美|信心
十三叔 - 二嬢二嬢你当我婆娘不当|我没有你想的那么好
深度睡眠 - 嬰兒安眠曲|寶寶要睡覺了 - 14首嬰兒必須聽的純音樂安眠曲為了乖乖地睡覺
抖抖音樂 - 練太極拳音樂|練太極拳音樂 - 大自然聲音和水聲為了冥想和練太極拳
舒暖純音樂 - 下雨天|專注力讀書音樂 - 好聽的鋼琴曲為了快速掌握新知識和整晚學習
孕婦瑜伽 - 大自然的歌曲|懷孕母親音樂 - 安靜的放鬆歌曲為了孕婦和未來媽媽
嬰兒 睡覺 - 催眠 治療|安眠曲 - 寶寶 安眠 曲, 嬰兒 睡覺, 睡眠 音樂
純正音源 - 練太極拳音樂|大自然和太極拳 - 佛教歌曲和大自然聲音為了早操和鍛煉身體
佛光山梵唄讚頌團 - 祝福 (浴佛歌世界音樂版)|因為有你
輕音樂 - 在家練瑜伽|輕音樂安眠曲- 2018最好聽的輕音樂為了深睡和午覺
田宝森 - 春夜宴从弟桃花园序|厵
赵学而 - 真摰|每隔两秒
富仕音樂 - 南無阿彌陀佛|古箏音樂系列-4
杨钟 - 侘寂|消融的声响
彭小龙 - 崀山情|一辈子的梦想
林耀欽 - 關聖帝君應驗桃園明聖經 (台語版)|關聖帝君應驗桃園明聖經(台語版)
蓮花 - 減少壓力|冥想課堂 - 安靜的音樂為了天天冥想和變成一個更優秀的人
蓮花 - 閉上眼睛|冥想課堂 - 安靜的音樂為了天天冥想和變成一個更優秀的人
蓮花 - 小美的搖籃曲|冥想課堂 - 安靜的音樂為了天天冥想和變成一個更優秀的人
惜音沙活 - 繞梁|繞梁
惜音沙活 - 繞梁 (伴奏)|繞梁
蕭蔓萱 羅添洲 - 般若波羅蜜多心經 (台語版)|般若波羅蜜多心經(台語版)
丁姵均 - 你讲欲离开的时拵|明日之星 台湾好声音
乘願領眾敬頌 - 琵琶佛讚之準提咒|國 際供佛齋僧大會紀念專輯(八十九年度)
乘願領眾敬頌 - 梵唱大悲咒|國 際供佛齋僧大會紀念專輯(八十九年度)
乘願領眾敬頌 - 甘露譜|國 際供佛齋僧大會紀念專輯(八十九年度)
乘願領眾敬頌 - 梵唱藥師佛聖號|國 際供佛齋僧大會紀念專輯(八十九年度)
乘願領眾敬頌 - 觀音菩薩讚|國 際供佛齋僧大會紀念專輯(八十九年度)
乘願領眾敬頌 - 地藏菩薩滅定業眞言|國 際供佛齋僧大會紀念專輯(八十九年度)
乘願領眾敬頌 - 清淨法身佛|國 際供佛齋僧大會紀念專輯(八十九年度)
乘願領眾敬頌 - 六字大明咒(108|國 際供佛齋僧大會紀念專輯(八十九年度)
乘願領眾敬頌 - 文殊菩薩心咒 (口白)|國 際供佛齋僧大會紀念專輯(八十九年度)
乘願領眾敬頌 - 法華偈|國 際供佛齋僧大會紀念專輯(八十九年度)
乘願領眾敬頌 - 嗡嘛呢叭彌吽|國 際供佛齋僧大會紀念專輯(八十九年度)
乘願領眾敬頌 - 三寶歌|國 際供佛齋僧大會紀念專輯(八十九年度)
乘願領眾敬頌 - 香華献供|國 際供佛齋僧大會紀念專輯(八十九年度)
乘願領眾敬頌 - 琵琶佛讚之水境蓮華|國 際供佛齋僧大會紀念專輯(八十九年度)
乘願領眾敬頌 - 寒山寺|國 際供佛齋僧大會紀念專輯(八十九年度)
乘願領眾敬頌 - 阿彌陀佛聖號 (演奏版)|國 際供佛齋僧大會紀念專輯(八十九年度)
乘願領眾敬頌 - 梵唱大悲咒 (八十四句)|國 際供佛齋僧大會紀念專輯(八十九年度)
栾慧 - 盐焗大章鱼|美食大冒险 原声带
佛教梵音樂團 - 釋迦牟尼佛心咒|釋迦牟尼佛心咒
华音小说剧 - 第058集 蔡永强的缜密|破冰行动
王彙筑 - 只要我长大 (2016中国好歌曲第三季第九期现场)|中国好歌曲第三季 第9期
冥想時刻 - 翅膀|冥想的好處 - 輕音樂和大自然聲音為了變成一個更好的自己
冥想時刻 - 輕音樂|冥想的好處 - 輕音樂和大自然聲音為了變成一個更好的自己
冥想時刻 - 深呼吸|冥想的好處 - 輕音樂和大自然聲音為了變成一個更好的自己
冥想時刻 - 夜晚|冥想的好處 - 輕音樂和大自然聲音為了變成一個更好的自己
冥想時刻 - 一起努力|冥想的好處 - 輕音樂和大自然聲音為了變成一個更好的自己
冥想時刻 - 冥想入門音樂|冥想的好處 - 輕音樂和大自然聲音為了變成一個更好的自己
冥想時刻 - 安寧|冥想的好處 - 輕音樂和大自然聲音為了變成一個更好的自己
冥想時刻 - 穿越|冥想的好處 - 輕音樂和大自然聲音為了變成一個更好的自己
冥想時刻 - 睡前冥想|冥想的好處 - 輕音樂和大自然聲音為了變成一個更好的自己
冥想時刻 - 安靜歌曲|冥想的好處 - 輕音樂和大自然聲音為了變成一個更好的自己
冥想時刻 - 冥想入門|冥想的好處 - 輕音樂和大自然聲音為了變成一個更好的自己
冥想時刻 - 森林|冥想的好處 - 輕音樂和大自然聲音為了變成一個更好的自己
冥想時刻 - 寶寶搖籃曲|冥想的好處 - 輕音樂和大自然聲音為了變成一個更好的自己
冥想時刻 - 放鬆音樂|冥想的好處 - 輕音樂和大自然聲音為了變成一個更好的自己
冥想時刻 - 冥想的好處|冥想的好處 - 輕音樂和大自然聲音為了變成一個更好的自己
冥想時刻 - 你的心跳|冥想的好處 - 輕音樂和大自然聲音為了變成一個更好的自己
冥想 - 放鬆音樂|冥想入門音樂 - 最佳的冥想和瑜伽音樂為了每天放鬆面對世界
冥想 - 安寧|冥想入門音樂 - 最佳的冥想和瑜伽音樂為了每天放鬆面對世界
冥想 - 你的心跳|冥想入門音樂 - 最佳的冥想和瑜伽音樂為了每天放鬆面對世界
冥想 - 深呼吸|冥想入門音樂 - 最佳的冥想和瑜伽音樂為了每天放鬆面對世界
冥想 - 穿越|冥想入門音樂 - 最佳的冥想和瑜伽音樂為了每天放鬆面對世界
冥想 - 寶寶搖籃曲|冥想入門音樂 - 最佳的冥想和瑜伽音樂為了每天放鬆面對世界
冥想 - 佛教|冥想入門音樂 - 最佳的冥想和瑜伽音樂為了每天放鬆面對世界
冥想 - 今天拜日式|冥想入門音樂 - 最佳的冥想和瑜伽音樂為了每天放鬆面對世界
冥想 - 冥想入門|冥想入門音樂 - 最佳的冥想和瑜伽音樂為了每天放鬆面對世界
冥想 - 河裡的蓮花|冥想入門音樂 - 最佳的冥想和瑜伽音樂為了每天放鬆面對世界
冥想 - 冥想入門音樂|冥想入門音樂 - 最佳的冥想和瑜伽音樂為了每天放鬆面對世界
冥想 - 太極拳法|冥想入門音樂 - 最佳的冥想和瑜伽音樂為了每天放鬆面對世界
冥想 - 輕音樂|冥想入門音樂 - 最佳的冥想和瑜伽音樂為了每天放鬆面對世界
冥想 - 起飛了|冥想入門音樂 - 最佳的冥想和瑜伽音樂為了每天放鬆面對世界
冥想 - 睡前冥想|冥想入門音樂 - 最佳的冥想和瑜伽音樂為了每天放鬆面對世界
冥想 - 我的夢想|冥想入門音樂 - 最佳的冥想和瑜伽音樂為了每天放鬆面對世界
一路听天下 - 第224集 及笄礼玉簪送祝福,软硬兼施劝归大哥|十八钗
一路听天下 - 第212集 以退为进先扬后抑,揭开危机同仇敌忾|十八钗
一路听天下 - 第179集 凤凰于飞翙翙其羽,亦集爱止亦傅于天|十八钗
一路听天下 - 第180集 许三郎梦擒火狐狸,送馃子两姐妹说亲|十八钗
一路听天下 - 第065集 城门失火殃及池鱼,图穷匕现杨氏发招|十八钗
一路听天下 - 第064集 及笄礼为人做嫁衣,争恩宠两夫人受辱|十八钗
一路听天下 - 第172集 颜慧莲解围鹌鹑蛋,颜青莲无语说公公|十八钗
一路听天下 - 第134集 魏家二房父子同嘈,颜家七房喜迎贤妻|十八钗
李爱绮 - 迺夜市|天王金选
肖云鹏 - 南无毗如遮那佛大灌顶光真言|与佛有缘
懓之守候 - 最美的守望|最美的守望
郑希怡 - 袮这么爱我|天爱2
春野恵 - 女郎蜘蛛伝説|女郎蜘蛛伝説
中岛美雪 - 未完成|回帰熱
薛淏远 - 如果你能感受到|如果你能感受到
杨千墀 - 跟谁都没有关系|星火贰号
黄忠榉 - 最想守护的人|妈妈好 电影原声带
李凤 - 补镬佬|新不了情 电影原声带
蕭蔓萱 謝文德 - 金岡薩埵百字明咒 (梵唱版)|金岡薩埵百字明咒(梵唱版)
每日冥想 - 閉上眼睛|一個人冥想 - 森林的聲音為了讓你每天輕鬆的開始一天
每日冥想 - 減少壓力|一個人冥想 - 森林的聲音為了讓你每天輕鬆的開始一天
每日冥想 - 寶寶搖籃曲|一個人冥想 - 森林的聲音為了讓你每天輕鬆的開始一天
睡覺 - 大自然搖籃曲|大自然安眠曲 - 最佳的放鬆歌曲為了每天好好睡覺和深睡
睡覺 - 減少壓力|大自然安眠曲 - 最佳的放鬆歌曲為了每天好好睡覺和深睡
谢浛露 - 如何才能留住你|如何才能留住你
方琼 - 嶉咚嶉|中国民歌荟萃(三)
关正杰 - 新的希望 (香港电台电视剧临歧主题曲)|常在我心间 爱你不分早晚
阿鲲 - 蹑手蹑脚地|血战到底之壮丁也是兵 电视剧原声大碟
私立惠比寿中学 - 面皰|穴空
黄永灿 - 云雾中佇立的人|如诗般 宁静
王建杰 - 掛念|感心
王建杰 - 鈸链|感心
游学志 - 鞑靼人舞曲|陶笛共和国
蕭蔓萱 - 大悲咒 (台語版)|大悲咒(台語版)
台灣靈巖山寺 - 大悲神咒 (快版)|大悲神咒(快版)
谢浛露 - 文殊菩萨赞|美丽的咒语
谢浛露 - 心经|美丽的咒语
宮脇詩音 - 卒業証書|卒業証書
黄江琴 - 世界之顛|一听钟情
谢金燕 - 爱我好呒|月弯弯
王中平 - 目睭洗温泉|将心比心
鲸鱼书场 - 第071集 抵巇篇:推销谋略-寻找共同点|鬼谷子-天下第一诡术
鲸鱼书场 - 第068集 抵巇篇:精髓要义-堵塞漏洞|鬼谷子-天下第一诡术
鲸鱼书场 - 第042集 五星六曜断相诗 月孛星|麻衣神相-准到惊人的相术
福山雅治 - 幸福論|残响
鲸鱼书场 - 第090集 忤合之术:顺势而为|鬼谷子-天下第一诡术
鲸鱼书场 - 第088集 忤合之术:恰当好处掌握火候|鬼谷子-天下第一诡术
鲸鱼书场 - 第051集 内揵篇:有主见而委婉的向领导进言|鬼谷子-天下第一诡术
鲸鱼书场 - 第082集 飞箝术:拍马屁真需要|鬼谷子-天下第一诡术
鲸鱼书场 - 第083集 飞箝术:诱导的策略,最好的营销方法|鬼谷子-天下第一诡术
鲸鱼书场 - 第054集 内揵篇:进退要自如,取舍要适当|鬼谷子-天下第一诡术
鲸鱼书场 - 第075集 抵巇篇:煮酒论英雄运用术|鬼谷子-天下第一诡术
鲸鱼书场 - 第063集 内揵篇:察言观色的学问01|鬼谷子-天下第一诡术
鲸鱼书场 - 第058集 内揵篇第三章:保全自己,全身而退|鬼谷子-天下第一诡术
鲸鱼书场 - 第061集 内揵篇:走讥讽齐王纳谏新解|鬼谷子-天下第一诡术
鲸鱼书场 - 第059集 内揵篇:以退为进,活学活用|鬼谷子-天下第一诡术
鲸鱼书场 - 第064集 内揵篇:察言观色的学问02|鬼谷子-天下第一诡术
鲸鱼书场 - 第066集 内揵篇:现代企业管理者如何赢得支持|鬼谷子-天下第一诡术
鲸鱼书场 - 第072集 抵巇篇:话不可乱说|鬼谷子-天下第一诡术
鲸鱼书场 - 第013集 捭阖第一活用连环捭阖术|鬼谷子-天下第一诡术
鲸鱼书场 - 第192集 搭讪之我们是同学|桃运神戒(男女双播)
鲸鱼书场 - 第015集 捭阖第一善用韬光养晦谋略(下)|鬼谷子-天下第一诡术
鲸鱼书场 - 第050集 内揵篇:职场中随机应变的本领应对上级|鬼谷子-天下第一诡术
鲸鱼书场 - 第069集 抵巇篇:诚信比一切智谋更有利|鬼谷子-天下第一诡术
鲸鱼书场 - 第052集 内揵篇:教你巧妙说圆场话|鬼谷子-天下第一诡术
鲸鱼书场 - 第070集 抵巇篇:遵守诺言,不轻易许诺|鬼谷子-天下第一诡术
鲸鱼书场 - 第086集 忤合之术:个人向背的问题|鬼谷子-天下第一诡术
鲸鱼书场 - 第080集 抵巇篇:如何对待"小人"|鬼谷子-天下第一诡术
鲸鱼书场 - 第079集 抵巇篇:抵巇术运用防患未然|鬼谷子-天下第一诡术
鲸鱼书场 - 第081集 飞箝术:如何网罗人才,为我所用|鬼谷子-天下第一诡术
鲸鱼书场 - 第078集 抵巇篇:如何经营抵巇术|鬼谷子-天下第一诡术
鲸鱼书场 - 第060集 内揵篇:经商的秘密法决|鬼谷子-天下第一诡术
鲸鱼书场 - 第087集 忤合之术:选择什么样的上司尤为关键|鬼谷子-天下第一诡术
鲸鱼书场 - 第077集 抵巇篇:如何成为圣人|鬼谷子-天下第一诡术
鲸鱼书场 - 第085集 飞箝术:飞箝之术秘诀|鬼谷子-天下第一诡术
鲸鱼书场 - 第089集 忤合之术:曾国藩做人为官之道|鬼谷子-天下第一诡术
鲸鱼书场 - 第074集 抵巇篇:消除与领导之间裂隙方法|鬼谷子-天下第一诡术
鲸鱼书场 - 第073集 抵巇篇:负荆请罪运用了抵巇术,您知道吗?|鬼谷子-天下第一诡术
鲸鱼书场 - 第014集 捭阖第一善用韬光养晦谋略(上)|鬼谷子-天下第一诡术
鲸鱼书场 - 第011集 捭阖第一接近领导的方法|鬼谷子-天下第一诡术
鲸鱼书场 - 第067集 内揵篇:获得领导的好感秘诀|鬼谷子-天下第一诡术
鲸鱼书场 - 第062集 内揵篇:揣测对方心意,顺势而为|鬼谷子-天下第一诡术
鲸鱼书场 - 第065集 内揵篇:察言观色的学问03|鬼谷子-天下第一诡术
鲸鱼书场 - 第048集 内揵篇:慎择明主|鬼谷子-天下第一诡术
鲸鱼书场 - 第076集 抵巇篇:教您处理婆媳矛盾|鬼谷子-天下第一诡术
鲸鱼书场 - 第049集 内揵篇:左右逢源,投其所好|鬼谷子-天下第一诡术
鲸鱼书场 - 第053集 内揵篇:刚柔并济掌握火候|鬼谷子-天下第一诡术
鲸鱼书场 - 第012集 捭阖第一巧用捭阖之术|鬼谷子-天下第一诡术
鲸鱼书场 - 第082集 定杀宋濂|千古枭雄朱元璋
毛星田 - 二十四孝劝世文之曾参啮指痛心|二十四孝劝世文
輝子 - 3月9日|3月9日
鲸鱼书场 - 第44集 不得不遵从|秦始皇
蕭蔓萱 羅添洲 - 地藏王菩薩超度欣咒 (梵唱坂)|地藏王菩薩超度欣咒(梵唱坂)
葛洁 - 第52集 殡天|独孤皇后
鸽子 - 第28集 冰墙禁锢!|竞技之心
周庠锋 - 姑娘我爱你|姑娘我爱你 (周痒锋)
石山正明 - 階段 (阶梯)|階段 (阶梯)
渥美定義 - 朝|光
林耀欽 - 金剛般若波羅蜜經 (台語版)|金剛般若波羅蜜經(台語版)
林耀欽 - 地藏菩薩本願經(上.中.下卷)[台語版]|地藏菩薩本願經(上.中.下卷)[台語版]
玉置浩二 - 氷点|玉置浩二作品钢琴集
普渡慈航會 - 贊僧歌|佛歌經典
陈佳晨 - 妙法莲华经观世音菩萨门品 (华语版)|妙法蓮華經觀世音菩薩普門品(華語版)
任炟名 - 中国陕菜|中国陕菜
王梦瑶 - 城门失火殃及池鱼|逃爱
主播霸主 - 第108集_白莲花遇上女汉婊|女配才是真绝色
主播霸主 - 第189集_进入泗阳县|女配才是真绝色
高翙晨 - 美丽的小河|美丽的小河
张淜南 - 天下同心|天下同心
蓮歌子 - 韋 馱 尊 天 菩 薩|天使波羅蜜-金典藏
蓮歌子 - 普 賢 菩 薩|天使波羅蜜-金典藏
蓮歌子 - 阿 彌 陀 佛|天使波羅蜜-金典藏
叶泳沺 - 最亮的星星 (和声伴奏)|最亮的星星
谢浛露 - 释迦牟尼佛赏|阿弥陀佛保佑你
奕睆 - 浴佛偈 (台语演唱版)|和雅音系列(4): 浴佛偈 [台语版]
牙牙乐 - 甏肉饭|无人的风景
一路听天下 - 第189集 姚家二郎高中传胪,狼烟四起夫妻上阵|十八钗
一路听天下 - 第108集 送贿赂夫人买瘦马,苦玫儿初次露真颜|十八钗
一路听天下 - 第092集 机杼声唯闻女叹息,芳心错付悔恨而亡|十八钗
一路听天下 - 第047集 婶侄俩品茶论阴谋,日头西升舅家来访|十八钗
一路听天下 - 第061集 台上渑池完璧归赵,台下大舅母还嫁妆|十八钗
一路听天下 - 第067集 谈婚事婆婆设门槛,为子女莫氏探五爷|十八钗
一路听天下 - 第069集 同根生相煎何太急,积年干戈难成玉帛|十八钗
一路听天下 - 第060集 动之以情晓之以理,刀子嘴难撬河蚌口|十八钗
氣志團 - 爱你|爱你
氣志團 - 爱你 (演奏版)|爱你
向強 - 尋求中國靈魂伴侶|夏季專輯
向強 - 小尼斯大道|夏季專輯
向強 - 迷人的常州|夏季專輯
向強 - 只有4個舞蹈|夏季專輯
向強 - 5, 4, 3, 2, 1, 0 舞蹈!|夏季專輯
向強 - 大連海灘街5688號|夏季專輯
向強 - 睡在沙灘上|夏季專輯
向強 - 皮拉海灘|夏季專輯
横井聡太 - 十二月|夜光
横井聡太 - 土壁|夜光
横井聡太 - 休眠|夜光
横井聡太 - 憧憬|夜光
横井聡太 - 夜光|夜光
横井聡太 - 兆動|夜光
横井聡太 - 振動|夜光
丽莎 - 淒涼小夜曲|丽莎 珍藏版
丽莎 - 相思淚盡人來歸|丽莎 珍藏版
丽莎 - 愛還鴛鴦|丽莎 珍藏版
安婼 - 第03集 当你变得有趣,生命才开始对你感兴趣|有趣的人才有诗和远方
王雯 - 應該分開嗎|應該分開嗎
顾顼 - 潇洒小曲|潇洒小曲
周淯 - 十万个为什么|十万个为什么
华语群星 - 樊哙闯宫|感动的美德故事
毛星田 - 二十四孝劝世文之郯子取鹿乳奉亲|二十四孝
郭炳坚 - 襌房夜怨 (修复版)|坚歌靓曲 (修复版)
林兆明 - 第一百一十三章 域让击衣宝桒子 (口白)|东周列国志
林兆明 - 第一百一十二章 诛邳圣叶公寳神兵 (口白)|东周列国志
林兆明 - 第一百二十一章 杀子胥夫差争崡 (口白)|东周列国志
林兆明 - 第一百五十八章 田光刎颈谏荆轲 (口白)|东周列国志
林兆明 - 第一百零九章 谿会綦文种通宰僖 (口白)|东周列国志
林兆明 - 第一百二十章 纳荆贵子路借缨 (口白)|东周列国志
林兆明 - 第一百三十六章 咸阳市五牛分商鞅 (口白)|东周列国志
林兆明 - 第一百四十二章 孟尝君偸过函谷关 (口白)|东周列国志
林兆明 - 第一百二十四章 乐山子怒辍中山羹 (口白)|东周列国志
广东畅读 - 第371集 功亏一篑|南宋悍将
广东畅读 - 第388集 人为刀俎|南宋悍将
广东畅读 - 第112集 昏聩|南宋悍将
广东畅读 - 第297集 样本,我们是叔侄|帝凰之神医弃妃
广东畅读 - 第260集 阴险,告凤轻尘抗旨不遵|帝凰之神医弃妃
广东畅读 - 第236集 搭讪,这年头都喜欢半路拦人|帝凰之神医弃妃
周淯 - 快乐读书郎|快乐读书郎
曾卋铭 - 逍遥赋 (伴奏)|逍遥赋
曾卋铭 - 逍遥赋|逍遥赋
广东畅读 - 第055集 窛义|异界逍遥天尊
广东畅读 - 第0069集 不能侮辱我的人格|修仙狂徒
广东畅读 - 第0171集 变化的息壤|修仙狂徒
一指团体 - 卡带人生|海墘个孥仔
广东畅读 - 第125集 诓诈|战气凌霄
广东畅读 - 第090集 北邙山脉|绝世战祖
广东畅读 - 第190集 岌岌可危|魂武双修
广东畅读 - 第219集 皇道蒲垫|武道凌云
广东畅读 - 第361集 大胃王|武道凌云
广东畅读 - 第115集 功亏一篑(二)|回到三国打天下
广东畅读 - 第107集 合谋簒汉|回到三国打天下
广东畅读 - 第114集 功亏一篑(一)|回到三国打天下
广东畅读 - 第141集 人心叵测|武道凌云
广东畅读 - 第103集 回归蓟县|回到三国打天下
广东畅读 - 第215集 误入耽罗|回到三国打天下
广东畅读 - 第80集 歃血玉蝎|武道凌云
广东畅读 - 第33集 白玉骷髅储物戒指|九阳绝脉
广东畅读 - 第164集 拿离疡开刀|九阳绝脉
广东畅读 - 第120集 触及白戬的底线|谋妃步步倾心
精彩凌 - 技校焊接王之曾正超|精彩凌另类专辑
广东畅读 - 第061集 功亏一篑|回到三国打天下
康一 - 第09集 "儿皇帝"石敬瑭是历史的罪人吗?(1)|不忍细看的五代十国史
康一 - 第38集 "卧榻之侧岂容他人鼾睡"典故的出处|不忍细看的五代十国史
